occupation,occupation_name,tip_commission
0,N/A (not applicable),FALSE
10,Chief executives,FALSE
20,General and operations managers,FALSE
30,Legislators,FALSE
40,Advertising and promotions managers,FALSE
50,Marketing and sales managers,TRUE
60,Public relations managers,FALSE
100,Administrative services managers,FALSE
110,Computer and information systems managers,FALSE
120,Financial managers,FALSE
135,Compensation and Benefits Managers,FALSE
136,Human Resources Managers,FALSE
137,Training and Development Managers,FALSE
140,Industrial production managers,FALSE
150,Purchasing managers,FALSE
160,"Transportation, storage, and distribution managers",FALSE
205,"Farmers, Ranchers, and Other Agricultural Managers",FALSE
220,Construction managers,FALSE
230,Education administrators,FALSE
300,Engineering managers,FALSE
310,Food service managers,FALSE
325,Funeral service managers,FALSE
330,Gaming managers,FALSE
340,Lodging managers,FALSE
350,Medical and health services managers,FALSE
360,Natural sciences managers,FALSE
400,Postmasters and mail superintendents,FALSE
410,"Property, real estate, and community association managers",FALSE
420,Social and community service managers,FALSE
425,Emergency Management Directors,FALSE
430,"Managers, all other",FALSE
500,"Agents and business managers of artists, performers, and athletes",TRUE
510,"Purchasing agents and buyers, farm products",TRUE
520,"Wholesale and retail buyers, except farm products",TRUE
530,"Purchasing agents, except wholesale, retail, and farm products",TRUE
540,"Claims adjusters, appraisers, examiners, and investigators",FALSE
550,Not used,FALSE
565,Compliance officers,FALSE
600,Cost estimators,FALSE
610,Not used,FALSE
630,Human resource workers,FALSE
640,"Compensation, benefits, and job analysis specialists",FALSE
650,Training and development specialists,FALSE
700,Logisticians,FALSE
710,Management analysts,FALSE
725,"Meeting, convention, and event planners",TRUE
726,Fundraisers,FALSE
735,Market research analysts and marketing specialists,FALSE
740,"Business operations specialists, all other",FALSE
800,Accountants and auditors,FALSE
810,Appraisers and assessors of real estate,FALSE
820,Budget analysts,FALSE
830,Credit analysts,FALSE
840,Financial analysts,FALSE
850,Personal financial advisors,TRUE
860,Insurance underwriters,FALSE
900,Financial examiners,FALSE
910,Loan counselors and officers,TRUE
920,Not used,FALSE
930,"Tax examiners, collectors, and revenue agents",FALSE
940,Tax preparers,TRUE
950,"Financial specialists, all other",FALSE
1000,Computer scientists and systems analysts,FALSE
1005,Computer and information research scientists,FALSE
1006,Computer systems analysts,FALSE
1007,Information security analysts,FALSE
1010,Computer programmers,FALSE
1020,"Software developers, applications and systems software",FALSE
1030,Web developers,FALSE
1050,Computer support specialists,FALSE
1060,Database administrators,FALSE
1105,Network and computer systems administrators,FALSE
1106,Computer network architects,FALSE
1107,"Computer occupations, all other",FALSE
1200,Actuaries,FALSE
1210,Mathematicians,FALSE
1220,Operations research analysts,FALSE
1230,Statisticians,FALSE
1240,Miscellaneous mathematical science occupations,FALSE
1300,"Architects, except naval",FALSE
1310,"Surveyors, cartographers, and photogrammetrists",FALSE
1320,Aerospace engineers,FALSE
1330,Agricultural engineers,FALSE
1340,Biomedical engineers,FALSE
1350,Chemical engineers,FALSE
1360,Civil engineers,FALSE
1400,Computer hardware engineers,FALSE
1410,Electrical and electronics engineers,FALSE
1420,Environmental engineers,FALSE
1430,"Industrial engineers, including health and safety",FALSE
1440,Marine engineers and naval architects,FALSE
1450,Materials engineers,FALSE
1460,Mechanical engineers,FALSE
1500,"Mining and geological engineers, including mining safety engineers",FALSE
1510,Nuclear engineers,FALSE
1520,Petroleum engineers,FALSE
1530,"Engineers, all other",FALSE
1540,Drafters,FALSE
1550,"Engineering technicians, except drafters",FALSE
1560,Surveying and mapping technicians,FALSE
1600,Agricultural and food scientists,FALSE
1610,Biological scientists,FALSE
1640,Conservation scientists and foresters,FALSE
1650,Medical scientists,FALSE
1660,"Life scientists, all other",FALSE
1700,Astronomers and physicists,FALSE
1710,Atmospheric and space scientists,FALSE
1720,Chemists and materials scientists,FALSE
1730,Not used,FALSE
1740,Environmental scientists and geoscientists,FALSE
1750,Not used,FALSE
1760,"Physical scientists, all other",FALSE
1800,Economists,FALSE
1815,Survey researchers,FALSE
1820,Psychologists,FALSE
1830,Sociologists,FALSE
1840,Urban and regional planners,FALSE
1850,Not used,FALSE
1860,Miscellaneous social scientists and related workers,FALSE
1900,Agricultural and food science technicians,FALSE
1910,Biological technicians,FALSE
1920,Chemical technicians,FALSE
1930,Geological and petroleum technicians,FALSE
1940,Nuclear technicians,FALSE
1950,Social science research assistants,FALSE
1965,"Miscellaneous life, physical, and social science technicians",FALSE
2000,Counselors,FALSE
2010,Social workers,FALSE
2015,Probation officers and correctional treatment specialists,FALSE
2016,Social and human service assistants,FALSE
2025,"Miscellaneous community and social service specialists, including health educators and community health workers",FALSE
2030,Not used,FALSE
2040,Clergy,FALSE
2050,"Directors, religious activities and education",FALSE
2060,"Religious workers, all other",FALSE
2100,"Lawyers, Judges, magistrates, and other judicial workers",FALSE
2105,Judicial law clerks,FALSE
2110,"Judges, magistrates, and other judicial workers",FALSE
2145,Paralegals and legal assistants,FALSE
2160,Miscellaneous legal support workers,FALSE
2200,Postsecondary teachers,FALSE
2300,Preschool and kindergarten teachers,FALSE
2310,Elementary and middle school teachers,FALSE
2320,Secondary school teachers,FALSE
2330,Special education teachers,FALSE
2340,Other teachers and instructors,FALSE
2400,"Archivists, curators, and museum technicians",FALSE
2430,Librarians,FALSE
2440,Library technicians,FALSE
2540,Teacher assistants,FALSE
2550,"Other education, training, and library workers",FALSE
2600,Artists and related workers,FALSE
2630,Designers,FALSE
2700,Actors,FALSE
2710,Producers and directors,FALSE
2720,"Athletes, coaches, umpires, and related workers",FALSE
2730,Not used,FALSE
2740,Dancers and choreographers,TRUE
2750,"Musicians, singers, and related workers",TRUE
2760,"Entertainers and performers, sports and related workers, all other",TRUE
2800,Announcers,FALSE
2810,"News analysts, reporters, and correspondents",FALSE
2825,Public relations specialists,FALSE
2830,Editors,FALSE
2840,Technical writers,FALSE
2850,Writers and authors,FALSE
2860,Miscellaneous media and communications workers,FALSE
2900,Broadcast and sound engineering technicians and radio operators,FALSE
2910,Photographers,TRUE
2920,"Television, video, and motion picture camera operators and editors",FALSE
2960,"Media and communications workers, all other",FALSE
3000,Chiropractors,FALSE
3010,Dentists,FALSE
3020,Not used,FALSE
3030,Dietitians and nutritionists,FALSE
3040,Optometrists,FALSE
3050,Pharmacists,FALSE
3060,Physicians and surgeons,FALSE
3110,Physician assistants,FALSE
3120,Podiatrists,FALSE
3140,Audiologists,FALSE
3150,Occupational therapists,FALSE
3160,Physical therapists,FALSE
3200,Radiation therapists,FALSE
3210,Recreational therapists,FALSE
3220,Respiratory therapists,FALSE
3230,Speech-language pathologists,FALSE
3235,Exercise Physiologists,FALSE
